Donor,variable,total_donor_ha,iso3
Afghanistan,2005,0.606362496,AFG
Afghanistan,2009,0.146336879,AFG
Afghanistan,2010,1.277826214,AFG
Afghanistan,2011,0.00286564,AFG
Afghanistan,2012,0.004084733,AFG
Albania,2005,0.674496572,ALB
Albania,2008,0.003052377,ALB
Albania,2009,0.003936326,ALB
Albania,2010,0.004467044,ALB
Albania,2011,0.059272009,ALB
Algeria,2001,0,DZA
Algeria,2002,0,DZA
Algeria,2003,13.1572522,DZA
Algeria,2005,7.541070406,DZA
Algeria,2006,9.08449567,DZA
Algeria,2007,0.00730516,DZA
Algeria,2009,0.070720471,DZA
Algeria,2010,8.257316186,DZA
Algeria,2011,10.82798411,DZA
Algeria,2013,1.37193134,DZA
Algeria,2014,0.006985284,DZA
Algeria,2015,0.299626006,DZA
Algeria,2016,0.359551207,DZA
Algeria,2017,0.018874585,DZA
Algeria,2020,0,DZA
Algeria,2021,0.024982,DZA
Andorra,2002,0.171723183,AND
Andorra,2003,0.199900042,AND
Andorra,2004,0.041704273,AND
Andorra,2005,0.292663727,AND
Andorra,2006,3.445326337,AND
Andorra,2007,0.141768187,AND
Andorra,2008,0.093847127,AND
Andorra,2009,0.205888595,AND
Andorra,2010,0.350672597,AND
Andorra,2011,0.107783106,AND
Andorra,2012,0.068445844,AND
Andorra,2013,0.124111735,AND
Andorra,2014,0.08415074,AND
Andorra,2015,0.070449335,AND
Andorra,2016,0.038080116,AND
Andorra,2017,0.115013758,AND
Andorra,2018,0.018596945,AND
Andorra,2019,0.041295626,AND
Andorra,2020,0.017805959,AND
Andorra,2021,0.073684311,AND
Angola,2000,0,AGO
Angola,2011,1.572148791,AGO
Antigua and Barbuda,2006,0.006438831,ATG
Antigua and Barbuda,2007,0.006207755,ATG
Antigua and Barbuda,2008,0.005948643,ATG
Antigua and Barbuda,2009,0.011597273,ATG
Antigua and Barbuda,2010,0.042627244,ATG
Antigua and Barbuda,2015,0.107377998,ATG
Antigua and Barbuda,2016,0,ATG
Argentina,2001,0,ARG
Argentina,2002,0,ARG
Argentina,2004,0,ARG
Argentina,2005,0,ARG
Argentina,2006,0,ARG
Argentina,2007,0,ARG
Argentina,2008,0.174739422,ARG
Argentina,2009,0.001413384,ARG
Argentina,2010,0.094288531,ARG
Argentina,2011,0.102101609,ARG
Argentina,2012,0.106339949,ARG
Argentina,2013,0.143653095,ARG
Argentina,2014,0.202825482,ARG
Argentina,2015,0.049551005,ARG
Argentina,2016,0.054633343,ARG
Argentina,2017,1.124980083,ARG
Argentina,2018,0.252418001,ARG
Argentina,2019,0.167940524,ARG
Argentina,2022,0.018028596,ARG
Armenia,2001,0,ARM
