variable,Donor,fts_nonoda_imeu_ha,fts_ndd_ha,dac1_ndd_imeu_ha
2000,Angola,0,0,0
2000,Bahamas,0,0,0
2000,Belarus,0,0.287281064918889,0
2000,Botswana,0,0.658404973776009,0
2000,Brazil,0,0.299018693442916,0
2000,Bulgaria,0,0,0
2000,Burundi,0,0.0415050265569305,0
2000,Chile,0,0.0422854727158556,0
2000,China,0,13.9585402669833,0
2000,Colombia,0,0,0
2000,Croatia,0,0,0
2000,Cyprus,0,0.050932766749087,0
2000,"DAC Countries, Total",0,0,0
2000,"DAC EU Members + EC, Total",0,0,0
2000,"DAC EU Members, Total",0,0,0
2000,Dominican Republic,0,0.069511693889001,0
2000,Egypt,0,0.467272014259534,0
2000,Estonia,0,0,0
2000,Eswatini,0,0.0199410265328242,0
2000,"G7 Countries, Total",0,0,0
2000,Gabon,0,0.36286392629121,0
2000,Ghana,0,0.193354289814616,0
2000,India,0,0.352452848087386,0
2000,Israel,0,1.98166992501256,0
2000,Kenya,0,0.127737534185515,0
2000,Kuwait,0,0,0
2000,Latvia,0,0,0
2000,Lesotho,0,0.173331649346365,0
2000,Libya,0,3.997667227446,0
2000,Liechtenstein,0,0.173662371528266,0
2000,Lithuania,0,0,0
2000,Malawi,0,0.119898334952397,0
2000,Malaysia,0,0.142621176314481,0
2000,Malta,0,0,0
2000,Mauritania,0,0.215487900108363,0
2000,Mauritius,0,0.207138593910886,0
2000,"Moldova, Republic of",0,0,0
2000,Monaco,0,0.00743570719694172,0
2000,Morocco,0,0.210441357497589,0
2000,Namibia,0,1.25019158870293,0
2000,Nigeria,0,0.423676286479772,0
2000,"Non-DAC Countries, Total",0,0,0
2000,Oman,0,0.188956946997862,0
2000,Qatar,0,0.939121649773269,0
2000,Republic of Türkiye,0,0,0
2000,Romania,0,7.49927362179605,0
2000,Russian Federation,0,5.37285860551538,0
2000,Rwanda,0,0.0127687864720713,0
2000,San Marino,0,0.0384334990433469,0
2000,Saudi Arabia,0,285.741473419435,0
2000,Seychelles,0,0,0
2000,Singapore,0,0.194263012199432,0
2000,South Africa,0,2.25387370954312,0
2000,Sudan,0,0.0191472240671902,0
2000,Thailand,0,0.447928198128013,0
2000,Tunisia,0,0,0
2000,Turkey,0,3.28377157735971,0
2000,United Arab Emirates,0,0.821009662017669,0
2000,Zambia,0,0.0370133219247784,0
2001,Algeria,0,0,0
2001,Argentina,0,0,0
2001,Armenia,0,0,0
2001,Bahamas,0,0.00609203097597583,0
2001,Bangladesh,0,0,0
2001,Belarus,0,0.353974619672304,0
2001,Brazil,0,0,0
2001,Bulgaria,0,0,0
2001,Chile,0,0,0
2001,China,0,1.80511977774328,0
2001,Colombia,0,0,0
2001,Costa Rica,0,0,0
2001,Croatia,0,0,0
2001,Cuba,0,0.190324293631609,0
2001,Cyprus,0,0.0532872693204558,0
2001,"DAC Countries, Total",54.2023906359952,0,0
2001,"DAC EU Members + EC, Total",46.5966264727855,0,0
2001,"DAC EU Members, Total",46.5966264727855,0,0
2001,Dominican Republic,0,0.197940148643015,0
2001,Ecuador,0,0,0
2001,Estonia,0,0.0972336664134199,0
2001,"G7 Countries, Total",39.0949343949552,0,0
2001,Guatemala,0,0,0
2001,Holy See (Vatican City State),0,0.146442729682306,0
2001,Honduras,0,0,0
2001,Israel,0,0.489087463909242,0
