Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,destinationObjects_Organization.id
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,Private individual/organisation,,NGOs and CSOs,418
21 Century Unification Service Organization,Other,,Other,2356
A Call to Serve International,NGOs,National NGO,NGOs and CSOs,3421
A.I.M.E! International e.V. (Deutschland),NGOs,,NGOs and CSOs,1088
Aadamiga USA,NGOs,,NGOs and CSOs,508
AAGAHI,NGOs,,NGOs and CSOs,6339
Aamin Organization,NGOs,,NGOs and CSOs,4212
AASAA,Other,,Other,2074
ABAAD-Resource Center for Gender Equality,NGOs,National NGO,NGOs and CSOs,6687
ABC Children's Aid,NGOs,,NGOs and CSOs,2237
Abdel Mohsen Qattan Foundation,Foundations,,NGOs and CSOs,7293
Abo Akademi University,Academia/think/research,,NGOs and CSOs,4376
Abo Mousa Alashary Social Charitable Association,NGOs,National NGO,NGOs and CSOs,7934
Abraham's Oasis,NGOs,,NGOs and CSOs,4269
Abs Development for Women and Children,NGOs,National NGO,NGOs and CSOs,3130
Abt Associates,Academia/think/research,,NGOs and CSOs,2817
Abundant Life Church,NGOs,,NGOs and CSOs,2343
Abyan Youth Foundation,Foundations,,Other,7675
Abyei Community Action for Development,NGOs,,NGOs and CSOs,122
Academy Charity Teaching Hospital,Academia/think/research,,NGOs and CSOs,3278
Academy for Educational Development,Academia/think/research,,NGOs and CSOs,4904
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs,National NGO,NGOs and CSOs,2977
Access Aid and Development,NGOs,,NGOs and CSOs,3753
Access Development and Relief Organization,NGOs,,NGOs and CSOs,1563
Access Initiative for African Development,Other,,Other,7998
Access Relief and Development,Other,,Other,626
Access to Quality Education Program,National government,,Public Sector,722
Accio Solidaria IGMAN,NGOs,,NGOs and CSOs,NA
Accion Contra el Hambre - Spain,,,,8516
Acción Contra el Hambre,,,,852
Acción Solidaria,NGOs,,,11362
Acehâ€™s People Forum,NGOs,,,NA
Aceh’s People Forum,NGOs,,NGOs and CSOs,2831
ACF - Canada,NGOs,Internationally affiliated NGO,NGOs and CSOs,NA
ACF - France,NGOs,International NGO,NGOs and CSOs,8501
ACF - Spain,NGOs,International NGO,NGOs and CSOs,NA
ACF - UK,NGOs,,NGOs and CSOs,NA
ACF - USA,NGOs,International NGO,NGOs and CSOs,NA
ACH-UK/INTERMON,Other,,Other,2442
ACT Alliance,NGOs,,NGOs and CSOs,5401
ACT Alliance / Act for Peace,NGOs,International NGO,NGOs and CSOs,8507
ACT Alliance / Amity Foundation,NGOs,,NGOs and CSOs,8548
ACT Alliance / Bread for the World,NGOs,,NGOs and CSOs,8437
ACT Alliance / Canadian Lutheran World Relief,NGOs,International NGO,NGOs and CSOs,8430
ACT Alliance / Christian Aid,NGOs,International NGO,NGOs and CSOs,2918
ACT Alliance / Christian Aid Ministries Nehemia,NGOs,,NGOs and CSOs,3291
ACT Alliance / Christian Aid UK,NGOs,International NGO,NGOs and CSOs,8502
ACT Alliance / Christian Care,NGOs,,NGOs and CSOs,8470
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs,,NGOs and CSOs,8466
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs,,NGOs and CSOs,8450
ACT Alliance / Christian World Service,NGOs,International NGO,NGOs and CSOs,8913
ACT Alliance / Church of Sweden,NGOs,International NGO,NGOs and CSOs,8482
ACT Alliance / Church World Service,NGOs,International NGO,NGOs and CSOs,8597
ACT Alliance / Church World Service - Indonesia,NGOs,,NGOs and CSOs,8497
ACT Alliance / Community World Service Asia,NGOs,,,3892
ACT Alliance / Dan Church Aid - Norwegian Church Aid Joint office in Palestine,NGOs,International NGO,NGOs and CSOs,8957
ACT Alliance / DanChurchAid,NGOs,International NGO,NGOs and CSOs,8572
"ACT Alliance / Diakonia, Sweden",NGOs,International NGO,NGOs and CSOs,8491
