iso3,year,value
ANT,2006,1.79
ANT,2007,1.79
ANT,2008,1.79
ANT,2009,1.79
ANT,2010,
ANT,2011,
ANT,2012,
ANT,2013,
ANT,2014,
ANT,2015,
ANT,2016,
ANT,2017,
ANT,2018,
ANT,2019,
ANT,2020,
ANT,2021,
ARE,2000,3.6725
ARE,2001,3.6725
ARE,2002,3.6725
ARE,2003,3.6725
ARE,2004,3.6725
ARE,2005,3.6725
ARE,2006,3.6725
ARE,2007,3.6725
ARE,2008,3.6725
ARE,2009,3.6725
ARE,2010,3.6725
ARE,2011,3.6725
ARE,2012,3.6725
ARE,2013,3.6725
ARE,2014,3.6725
ARE,2015,3.6725
ARE,2016,3.6725
ARE,2017,3.6725
ARE,2018,3.6725
ARE,2019,3.6725
ARE,2020,3.6725
ARE,2021,3.6725
ARG,2000,0.9995
ARG,2001,0.9995
ARG,2002,3.063257
ARG,2003,2.900629
ARG,2004,2.923301
ARG,2005,2.903658
ARG,2006,3.054313
ARG,2007,3.095649
ARG,2008,3.144165
ARG,2009,3.710107
ARG,2010,3.896295
ARG,2011,4.11014
ARG,2012,4.536934
ARG,2013,5.459353
ARG,2014,8.075276
ARG,2015,9.233186
ARG,2016,14.758175
ARG,2017,16.562707
ARG,2018,28.094992
ARG,2019,48.147892
ARG,2020,70.539167
ARG,2021,94.990742
ARM,2000,539.526
ARM,2001,555.06
ARM,2002,573.35
ARM,2003,578.77
ARM,2004,533.45
ARM,2005,457.6869
ARM,2006,416.0404
ARM,2007,342.0791
ARM,2008,305.9694
ARM,2009,363.2833
ARM,2010,373.6605
ARM,2011,372.5009
ARM,2012,401.764
ARM,2013,409.6257
ARM,2014,415.9198
ARM,2015,477.9183
ARM,2016,480.4882
ARM,2017,482.7164
ARM,2018,482.9879
ARM,2019,480.4451
ARM,2020,489.0089
ARM,2021,503.769674961652
ASM,2000,
ASM,2001,
ASM,2002,1
ASM,2003,1
ASM,2004,1
ASM,2005,1
ASM,2006,1
ASM,2007,1
ASM,2008,1
ASM,2009,1
ASM,2010,1
ASM,2011,1
ASM,2012,1
ASM,2013,1
ASM,2014,1
ASM,2015,1
ASM,2016,1
ASM,2017,1
ASM,2018,1
ASM,2019,1
ASM,2020,1
ASM,2021,
ATG,2000,2.7
ATG,2001,2.7
ATG,2002,2.7
ATG,2003,2.7
ATG,2004,2.7
ATG,2005,2.7
ATG,2006,2.7
ATG,2007,2.7
ATG,2008,2.7
ATG,2009,2.7
ATG,2010,2.7
ATG,2011,2.7
ATG,2012,2.7
ATG,2013,2.7
ATG,2014,2.7
ATG,2015,2.7
ATG,2016,2.7
ATG,2017,2.7
ATG,2018,2.7
ATG,2019,2.7
ATG,2020,2.7
ATG,2021,2.7
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUS,2017,1.304758
AUS,2018,1.338412
AUS,2019,1.438507
AUS,2020,1.453085
AUS,2021,1.331224
AUT,2000,1.082705
AUT,2001,1.116533
AUT,2002,1.057559
AUT,2003,0.884048
AUT,2004,0.803922
AUT,2005,0.8038
AUT,2006,0.796433
AUT,2007,0.729672
AUT,2008,0.679923
AUT,2009,0.716958
AUT,2010,0.754309
AUT,2011,0.718414
AUT,2012,0.778338
AUT,2013,0.752945
AUT,2014,0.752728
AUT,2015,0.901296
AUT,2016,0.903421
AUT,2017,0.885206
AUT,2018,0.846773
AUT,2019,0.893276
AUT,2020,0.875506
AUT,2021,0.845494
AZE,2000,0.8948
AZE,2001,0.9313
AZE,2002,0.9722
AZE,2003,0.9821
AZE,2004,0.9827
AZE,2005,0.9454
AZE,2006,0.8934
AZE,2007,0.8581
AZE,2008,0.8216
AZE,2009,0.8038
AZE,2010,0.8026
AZE,2011,0.7897
AZE,2012,0.7856
AZE,2013,0.7845
AZE,2014,0.7843
AZE,2015,1.0246
AZE,2016,1.5957
AZE,2017,1.7212
AZE,2018,1.7
AZE,2019,1.7
AZE,2020,1.7
AZE,2021,1.7
AZO,2000,
AZO,2001,
AZO,2002,
AZO,2003,
AZO,2004,
AZO,2005,
AZO,2006,
AZO,2007,
AZO,2008,
AZO,2009,
AZO,2010,
AZO,2011,
AZO,2012,
AZO,2013,
AZO,2014,
AZO,2015,
AZO,2016,
AZO,2017,
AZO,2018,
AZO,2019,
AZO,2020,
AZO,2021,
BDI,2000,720.67
BDI,2001,830.35
BDI,2002,930.7492
BDI,2003,1082.62
BDI,2004,1100.91
BDI,2005,1081.5772
BDI,2006,1028.6836
BDI,2007,1081.8697
BDI,2008,1185.6908
BDI,2009,1230.1792
BDI,2010,1230.7483
BDI,2011,1261.0733
BDI,2012,1442.5056
BDI,2013,1555.0908
BDI,2014,1546.6867
BDI,2015,1571.8983
BDI,2016,1791.9663592021
BDI,2017,1995.8907547977
BDI,2018,2029.0401490944
BDI,2019,2112.7588898255
BDI,2020,2195.653775774
BDI,2021,1975.95088138768
BEL,2000,1.082705
BEL,2001,1.116533
BEL,2002,1.057559
BEL,2003,0.884048
BEL,2004,0.803922
BEL,2005,0.8038
BEL,2006,0.796433
BEL,2007,0.729672
BEL,2008,0.679923
BEL,2009,0.716958
BEL,2010,0.754309
BEL,2011,0.718414
BEL,2012,0.778338
BEL,2013,0.752945
BEL,2014,0.752728
BEL,2015,0.901296
BEL,2016,0.903421
BEL,2017,0.885206
BEL,2018,0.846773
BEL,2019,0.893276
BEL,2020,0.875506
BEL,2021,0.845494
BEN,2000,710.208
BEN,2001,732.3977
BEN,2002,693.7132
BEN,2003,579.8974
BEN,2004,527.338
BEN,2005,527.2584
BEN,2006,522.4256
BEN,2007,478.6337
BEN,2008,446
BEN,2009,470.2934
BEN,2010,494.7943
BEN,2011,471.2486
BEN,2012,510.5563
BEN,2013,493.8996
BEN,2014,493.7573
BEN,2015,591.2117
BEN,2016,592.6056
BEN,2017,580.6568
BEN,2018,555.4465
BEN,2019,585.911
BEN,2020,575.586
BEN,2021,554.602599205008
BES,2000,
BES,2001,
BES,2002,
BES,2003,
BES,2004,
BES,2005,
BES,2006,
BES,2007,
BES,2008,
BES,2009,
BES,2010,
BES,2011,
BES,2012,
BES,2013,
BES,2014,
BES,2015,
BES,2016,
BES,2017,
BES,2018,
BES,2019,
BES,2020,
BES,2021,
BFA,2000,710.208
BFA,2001,732.3977
BFA,2002,693.7132
BFA,2003,579.8974
BFA,2004,527.338
BFA,2005,527.2584
BFA,2006,522.4256
BFA,2007,478.6337
BFA,2008,446
BFA,2009,470.2934
BFA,2010,494.7943
BFA,2011,471.2486
BFA,2012,510.5563
BFA,2013,493.8996
BFA,2014,493.7573
BFA,2015,591.2117
BFA,2016,592.6056
BFA,2017,580.6567
BFA,2018,555.4465
BFA,2019,585.911
BFA,2020,575.586
BFA,2021,554.530675033104
BGD,2000,50.31
BGD,2001,53.96
BGD,2002,57.43
BGD,2003,57.9
BGD,2004,58.87
BGD,2005,61.5
BGD,2006,67.16
BGD,2007,69.06
BGD,2008,68.61
BGD,2009,68.8024
BGD,2010,69.1833
BGD,2011,71.1943
BGD,2012,79.127
BGD,2013,79.9333
BGD,2014,77.7205
BGD,2015,77.7021
BGD,2016,78.2631
BGD,2017,79.1241
BGD,2018,82.1226
BGD,2019,84.0292
BGD,2020,84.7941
BGD,2021,85.08376325
BGR,2000,2.123275
BGR,2001,2.184708
BGR,2002,2.076975
BGR,2003,1.732702
BGR,2004,1.575109
BGR,2005,1.574133
BGR,2006,1.559267
BGR,2007,1.42905
BGR,2008,1.337117
BGR,2009,1.406692
BGR,2010,1.477392
BGR,2011,1.406458
BGR,2012,1.52205
BGR,2013,1.473567
BGR,2014,1.474183
BGR,2015,1.7644
BGR,2016,1.768042
BGR,2017,1.735458
BGR,2018,1.657042
BGR,2019,1.747042
BGR,2020,1.716333
BGR,2021,1.653775
BHR,2000,0.376
BHR,2001,0.376
BHR,2002,0.376
BHR,2003,0.376
BHR,2004,0.376
BHR,2005,0.376
BHR,2006,0.376
BHR,2007,0.376
BHR,2008,0.376
BHR,2009,0.376
BHR,2010,0.376
BHR,2011,0.376
BHR,2012,0.376
BHR,2013,0.376
BHR,2014,0.376
BHR,2015,0.376
BHR,2016,0.376
BHR,2017,0.376
BHR,2018,0.376
BHR,2019,0.376
BHR,2020,0.376
BHR,2021,0.376
BHS,2000,1
BHS,2001,1
BHS,2002,1
BHS,2003,1
BHS,2004,1
BHS,2005,1
BHS,2006,1
BHS,2007,1
BHS,2008,1
BHS,2009,1
BHS,2010,1
BHS,2011,1
BHS,2012,1
BHS,2013,1
BHS,2014,1
BHS,2015,1
BHS,2016,1
BHS,2017,1
BHS,2018,1
BHS,2019,1
BHS,2020,1
BHS,2021,1
BIH,2000,2.123
BIH,2001,2.1856
BIH,2002,2.078
BIH,2003,1.733
BIH,2004,1.575
BIH,2005,1.5727
BIH,2006,1.5591
BIH,2007,1.429
BIH,2008,1.3352
BIH,2009,1.4079
BIH,2010,1.4767
BIH,2011,1.4069
BIH,2012,1.5227
BIH,2013,1.4736
BIH,2014,1.474
BIH,2015,1.7626
BIH,2016,1.768
BIH,2017,1.7355
BIH,2018,1.6575
BIH,2019,1.7472
BIH,2020,1.7166
BIH,2021,1.65360615435868
BLM,2000,
BLM,2001,
BLM,2002,
BLM,2003,
BLM,2004,
BLM,2005,
BLM,2006,
BLM,2007,
BLM,2008,
BLM,2009,
BLM,2010,
BLM,2011,
BLM,2012,
BLM,2013,
BLM,2014,
BLM,2015,
BLM,2016,
BLM,2017,
BLM,2018,
BLM,2019,
BLM,2020,
BLM,2021,
BLR,2000,0.0717
BLR,2001,0.139
BLR,2002,0.1791
BLR,2003,0.2051
BLR,2004,0.216
BLR,2005,0.2154
BLR,2006,0.2145
BLR,2007,0.2146
BLR,2008,0.2136
BLR,2009,0.2793
BLR,2010,0.2979
BLR,2011,0.4975
BLR,2012,0.8337
BLR,2013,0.888
BLR,2014,1.0224
BLR,2015,1.5926
BLR,2016,1.9896
BLR,2017,1.9323
BLR,2018,2.0376
BLR,2019,2.0918
BLR,2020,2.4396
BLR,2021,2.538675
BLZ,2000,2
BLZ,2001,2
BLZ,2002,2
BLZ,2003,2
BLZ,2004,2
BLZ,2005,2
BLZ,2006,2
BLZ,2007,2
BLZ,2008,2
BLZ,2009,2
BLZ,2010,2
BLZ,2011,2
BLZ,2012,2
BLZ,2013,2
BLZ,2014,2
BLZ,2015,2
BLZ,2016,2
BLZ,2017,2
BLZ,2018,2
BLZ,2019,2
BLZ,2020,2
BLZ,2021,2
BMU,2000,1
BMU,2001,1
BMU,2002,1
BMU,2003,1
BMU,2004,1
BMU,2005,1
BMU,2006,1
BMU,2007,1
BMU,2008,1
BMU,2009,1
BMU,2010,1
BMU,2011,1
BMU,2012,1
BMU,2013,1
BMU,2014,1
BMU,2015,1
BMU,2016,1
BMU,2017,1
BMU,2018,1
BMU,2019,1
BMU,2020,1
BMU,2021,1
BOL,2000,6.1835
BOL,2001,6.6069
BOL,2002,7.17
BOL,2003,7.6592
BOL,2004,7.936
BOL,2005,8.0661
BOL,2006,8.0116
BOL,2007,7.8512
BOL,2008,7.2383
BOL,2009,7.02
BOL,2010,7.0167
BOL,2011,6.937
BOL,2012,6.91
BOL,2013,6.91
BOL,2014,6.91
BOL,2015,6.91
BOL,2016,6.91
BOL,2017,6.91
BOL,2018,6.91
BOL,2019,6.91
BOL,2020,6.91
BOL,2021,6.91
BRA,2000,1.829423
BRA,2001,2.349632
BRA,2002,2.920363
BRA,2003,3.077475
BRA,2004,2.925119
BRA,2005,2.43439
BRA,2006,2.175327
BRA,2007,1.947058
BRA,2008,1.833767
BRA,2009,1.999428
BRA,2010,1.759227
BRA,2011,1.672829
BRA,2012,1.953069
BRA,2013,2.156089
BRA,2014,2.352952
BRA,2015,3.326904
BRA,2016,3.491313
BRA,2017,3.191389
BRA,2018,3.653825
BRA,2019,3.944471
BRA,2020,5.155179
BRA,2021,5.394401
BRB,2000,2
BRB,2001,2
BRB,2002,2
BRB,2003,2
BRB,2004,2
BRB,2005,2
BRB,2006,2
BRB,2007,2
BRB,2008,2
BRB,2009,2
BRB,2010,2
BRB,2011,2
BRB,2012,2
BRB,2013,2
BRB,2014,2
BRB,2015,2
BRB,2016,2
BRB,2017,2
BRB,2018,2
BRB,2019,2
BRB,2020,2
BRB,2021,2
BRN,2000,1.724
BRN,2001,1.7917
BRN,2002,1.7906
BRN,2003,1.7422
BRN,2004,1.6902
BRN,2005,1.6644
BRN,2006,1.5889
BRN,2007,1.5071
BRN,2008,1.4172
BRN,2009,1.4546
BRN,2010,1.3635
BRN,2011,1.2579
BRN,2012,1.2496
BRN,2013,1.2512
BRN,2014,1.267
BRN,2015,1.3749
BRN,2016,1.3813
BRN,2017,1.3809
BRN,2018,1.3489
BRN,2019,1.3642
BRN,2020,1.3797
BRN,2021,1.34380696297339
BTN,2000,44.94
BTN,2001,47.19
BTN,2002,48.61
BTN,2003,46.58
BTN,2004,45.32
BTN,2005,44.1
BTN,2006,45.307
BTN,2007,41.3485
BTN,2008,43.5052
BTN,2009,48.4053
BTN,2010,45.7258
BTN,2011,46.6705
BTN,2012,53.4372
BTN,2013,58.5978
BTN,2014,61.0295
BTN,2015,64.1519
BTN,2016,67.1953
BTN,2017,65.1216
BTN,2018,68.3895
BTN,2019,70.4203
BTN,2020,74.0995668836
BTN,2021,73.9393482494058
BWA,2000,5.1018
BWA,2001,5.8412
BWA,2002,6.3278
BWA,2003,4.9499
BWA,2004,4.6929
BWA,2005,5.1167
BWA,2006,5.8303
BWA,2007,6.1388
BWA,2008,6.8269
BWA,2009,7.1551
BWA,2010,6.7936
BWA,2011,6.8382
BWA,2012,7.6405
BWA,2013,8.3989
BWA,2014,8.9761
BWA,2015,10.129
BWA,2016,10.9012
BWA,2017,10.3474
BWA,2018,10.2
BWA,2019,10.7559
BWA,2020,11.4562
BWA,2021,11.0872583333333
CAF,2000,711.9763
CAF,2001,733.0385
CAF,2002,696.9882
CAF,2003,581.2003
CAF,2004,528.2848
CAF,2005,527.4681
CAF,2006,522.8901
CAF,2007,479.2668
CAF,2008,447.8348
CAF,2009,472.1863
CAF,2010,494.7943
CAF,2011,471.2486
CAF,2012,510.5563
CAF,2013,493.8996
CAF,2014,493.7573
CAF,2015,591.2117
CAF,2016,592.6056
CAF,2017,580.6568
CAF,2018,555.4465
CAF,2019,585.911
CAF,2020,575.586
CAF,2021,554.530675033104
CAN,2000,1.485394
CAN,2001,1.54884
CAN,2002,1.570343
CAN,2003,1.401015
CAN,2004,1.301282
CAN,2005,1.211405
CAN,2006,1.134345
CAN,2007,1.074046
CAN,2008,1.067087
CAN,2009,1.141535
CAN,2010,1.030113
CAN,2011,0.989258
CAN,2012,0.999365
CAN,2013,1.030137
CAN,2014,1.104747
CAN,2015,1.278786
CAN,2016,1.325615
CAN,2017,1.297936
CAN,2018,1.295818
CAN,2019,1.326793
CAN,2020,1.341153
CAN,2021,1.253877
CHE,2000,1.688843
CHE,2001,1.687615
CHE,2002,1.558607
CHE,2003,1.346651
CHE,2004,1.243496
CHE,2005,1.245177
CHE,2006,1.253843
CHE,2007,1.200366
CHE,2008,1.08309
CHE,2009,1.088142
CHE,2010,1.042906
CHE,2011,0.888042
CHE,2012,0.937684
CHE,2013,0.926904
CHE,2014,0.916151
CHE,2015,0.962381
CHE,2016,0.985394
CHE,2017,0.984692
CHE,2018,0.977892
CHE,2019,0.993709
CHE,2020,0.938965
CHE,2021,0.913846
CHL,2000,539.5875
CHL,2001,634.938333
CHL,2002,688.936667
CHL,2003,691.3975
CHL,2004,609.529167
CHL,2005,559.7675
CHL,2006,530.275
CHL,2007,522.464167
CHL,2008,522.461036
CHL,2009,560.859895
CHL,2010,510.249167
CHL,2011,483.6675
CHL,2012,486.471303
CHL,2013,495.272878
CHL,2014,570.348216
CHL,2015,654.124084
CHL,2016,676.957736
CHL,2017,648.833793
CHL,2018,641.276813
CHL,2019,702.897423
CHL,2020,792.727206
CHL,2021,758.955379
CHN,2000,8.278504
CHN,2001,8.277068
CHN,2002,8.276958
CHN,2003,8.277037
CHN,2004,8.276801
CHN,2005,8.194317
CHN,2006,7.973438
CHN,2007,7.607532
CHN,2008,6.948655
CHN,2009,6.831416
CHN,2010,6.770269
CHN,2011,6.461461
CHN,2012,6.312333
CHN,2013,6.195758
CHN,2014,6.143434
CHN,2015,6.227489
CHN,2016,6.644478
CHN,2017,6.758755
CHN,2018,6.615957
CHN,2019,6.908385
CHN,2020,6.900767
CHN,2021,6.448975
CIV,2000,710.208
CIV,2001,732.3977
CIV,2002,693.7132
CIV,2003,579.8974
CIV,2004,527.338
CIV,2005,527.2584
CIV,2006,522.4256
CIV,2007,478.6337
CIV,2008,446
CIV,2009,470.2934
CIV,2010,494.7943
CIV,2011,471.2486
CIV,2012,510.5563
CIV,2013,493.8996
CIV,2014,493.7573
CIV,2015,591.2117
CIV,2016,592.6056
CIV,2017,580.6567
CIV,2018,555.4465
CIV,2019,585.911
CIV,2020,575.586
CIV,2021,554.530675033104
CMR,2000,710.208
CMR,2001,732.3977
CMR,2002,693.7132
CMR,2003,579.8974
CMR,2004,527.338
CMR,2005,527.2584
CMR,2006,522.4256
CMR,2007,478.6337
CMR,2008,446
CMR,2009,470.2934
CMR,2010,494.7943
CMR,2011,471.2486
CMR,2012,510.5563
CMR,2013,493.8996
CMR,2014,493.7573
CMR,2015,591.2117
CMR,2016,592.6056
CMR,2017,580.6567
CMR,2018,555.4465
CMR,2019,585.911
CMR,2020,575.586
CMR,2021,554.530675033104
COD,2000,69
COD,2001,300
COD,2002,346.6879
COD,2003,405.3974
COD,2004,399.4757
COD,2005,473.908
COD,2006,468.2788
COD,2007,516.7498
COD,2008,559.2925
COD,2009,809.7858
COD,2010,905.9135
COD,2011,919.4913
COD,2012,919.755
COD,2013,919.5659
COD,2014,925.2263
COD,2015,925.985
COD,2016,1010.3028
COD,2017,1464.4179
COD,2018,1622.5235
COD,2019,1647.7601
COD,2020,1851.1222
COD,2021,1989.39147122828
COG,2000,710.208
COG,2001,732.3977
COG,2002,693.7132
COG,2003,579.8974
COG,2004,527.338
COG,2005,527.4681
COG,2006,522.8901
COG,2007,479.2668
COG,2008,447.8053
COG,2009,472.1863
COG,2010,495.277
COG,2011,471.8661
COG,2012,510.5271
COG,2013,494.04
COG,2014,494.415
COG,2015,591.4495
COG,2016,592.8
COG,2017,580.9
COG,2018,555.4465
COG,2019,585.911
COG,2020,575.586
COG,2021,554.530675033104
COK,2000,
COK,2001,
COK,2002,
COK,2003,
COK,2004,
COK,2005,
COK,2006,
COK,2007,
COK,2008,
COK,2009,
COK,2010,
COK,2011,
COK,2012,
COK,2013,
COK,2014,
COK,2015,
COK,2016,
COK,2017,
COK,2018,
COK,2019,
COK,2020,
COK,2021,
COL,2000,2087.903842
COL,2001,2299.633156
COL,2002,2504.241331
COL,2003,2877.652458
COL,2004,2628.612903
COL,2005,2320.834177
COL,2006,2361.139407
COL,2007,2078.291837
COL,2008,1967.711309
COL,2009,2158.255903
COL,2010,1898.569636
COL,2011,1848.13947
COL,2012,1796.895912
COL,2013,1868.785327
COL,2014,2001.781048
COL,2015,2741.880855
COL,2016,3054.121673
COL,2017,2951.327402
COL,2018,2955.70397
COL,2019,3280.831631
COL,2020,3694.854072
COL,2021,3743.589819
COM,2000,532.656
COM,2001,549.2983
COM,2002,520.2849
COM,2003,434.9231
COM,2004,395.5035
COM,2005,395.4438
COM,2006,391.8192
COM,2007,358.9753
COM,2008,334.5
COM,2009,352.7201
COM,2010,371.0957
COM,2011,353.4365
COM,2012,382.9173
COM,2013,370.4247
COM,2014,370.318
COM,2015,443.4088
COM,2016,444.4542
COM,2017,435.4926
COM,2018,416.5848
COM,2019,439.4631
COM,2020,430.7209
COM,2021,415.955849148115
CPV,2000,115.876552
CPV,2001,123.213333
CPV,2002,117.255833
CPV,2003,97.7875
CPV,2004,88.747925
CPV,2005,88.646169
CPV,2006,87.926065
CPV,2007,80.615027
CPV,2008,75.336004
CPV,2009,80.035418
CPV,2010,83.278689
CPV,2011,79.276881
CPV,2012,86.318954
CPV,2013,83.0725
CPV,2014,83.0345
CPV,2015,99.385694
CPV,2016,99.688114
CPV,2017,97.806938
CPV,2018,93.413579
CPV,2019,98.495179
CPV,2020,96.795743
CPV,2021,93.2180924116109
CRI,2000,308.186667
CRI,2001,328.870833
CRI,2002,359.817527
CRI,2003,398.662222
CRI,2004,437.935
CRI,2005,477.786741
CRI,2006,511.301818
CRI,2007,516.61739
CRI,2008,526.235513
CRI,2009,573.287957
CRI,2010,525.829201
CRI,2011,505.66424
CRI,2012,502.901462
CRI,2013,499.766833
CRI,2014,538.3172
CRI,2015,534.56577
CRI,2016,544.739367
CRI,2017,567.51309
CRI,2018,576.972501
CRI,2019,587.294596
CRI,2020,584.900855
CRI,2021,620.78472
CSK,2000,
CSK,2001,
CSK,2002,
CSK,2003,
CSK,2004,
CSK,2005,
CSK,2006,
CSK,2007,
CSK,2008,
CSK,2009,
CSK,2010,
CSK,2011,
CSK,2012,
CSK,2013,
CSK,2014,
CSK,2015,
CSK,2016,
CSK,2017,
CSK,2018,
CSK,2019,
CSK,2020,
CSK,2021,
CUB,2000,1
CUB,2001,1
CUB,2002,1
CUB,2003,1
CUB,2004,1
CUB,2005,1
CUB,2006,1
CUB,2007,1
CUB,2008,1
CUB,2009,1
CUB,2010,1
CUB,2011,1
CUB,2012,1
CUB,2013,1
CUB,2014,1
CUB,2015,1
CUB,2016,1
CUB,2017,1
CUB,2018,1
CUB,2019,1
CUB,2020,1
CUB,2021,
CUW,2000,
CUW,2001,
CUW,2002,
CUW,2003,
CUW,2004,
CUW,2005,
CUW,2006,
CUW,2007,
CUW,2008,
CUW,2009,
CUW,2010,
CUW,2011,1.79
CUW,2012,1.79
CUW,2013,1.79
CUW,2014,1.79
CUW,2015,1.79
CUW,2016,1.79
CUW,2017,1.79
CUW,2018,1.79
CUW,2019,1.79
CUW,2020,1.79
CUW,2021,1.79
CYM,2000,0.83333
CYM,2001,0.83333
CYM,2002,0.83333
CYM,2003,0.83333
CYM,2004,0.83333
CYM,2005,0.8333
CYM,2006,0.8333
CYM,2007,0.8333
CYM,2008,0.8333
CYM,2009,0.8333
CYM,2010,0.8333
CYM,2011,0.8333
CYM,2012,0.8333
CYM,2013,0.8333
CYM,2014,0.8333
CYM,2015,0.8333
CYM,2016,0.8333
CYM,2017,0.8333
CYM,2018,0.8333
CYM,2019,0.8333
CYM,2020,0.8333
CYM,2021,0.83333
CYP,2000,1.063449
CYP,2001,1.098814
CYP,2002,1.043375
CYP,2003,0.884104
CYP,2004,0.800652
CYP,2005,0.792912
CYP,2006,0.784104
CYP,2007,0.728078
CYP,2008,0.679923
CYP,2009,0.716958
CYP,2010,0.754309
CYP,2011,0.718414
CYP,2012,0.778338
CYP,2013,0.752945
CYP,2014,0.752728
CYP,2015,0.901296
CYP,2016,0.903421
CYP,2017,0.885206
CYP,2018,0.846773
CYP,2019,0.893276
CYP,2020,0.875506
CYP,2021,0.845494
CZE,2000,38.598417
CZE,2001,38.035328
CZE,2002,32.738518
CZE,2003,28.209
CZE,2004,25.69975
CZE,2005,23.957417
CZE,2006,22.595583
CZE,2007,20.293667
CZE,2008,17.071667
CZE,2009,19.063
CZE,2010,19.09825
CZE,2011,17.695917
CZE,2012,19.5775
CZE,2013,19.570583
CZE,2014,20.7575
CZE,2015,24.59875
CZE,2016,24.439917
CZE,2017,23.376333
CZE,2018,21.729917
CZE,2019,22.93225
CZE,2020,23.21025
CZE,2021,21.678167
DDR,2000,
DDR,2001,
DDR,2002,
DDR,2003,
DDR,2004,
DDR,2005,
DDR,2006,
DDR,2007,
DDR,2008,
DDR,2009,
DDR,2010,
DDR,2011,
DDR,2012,
DDR,2013,
DDR,2014,
DDR,2015,
DDR,2016,
DDR,2017,
DDR,2018,
DDR,2019,
DDR,2020,
DDR,2021,
DEU,2000,1.082705
DEU,2001,1.116533
DEU,2002,1.057559
DEU,2003,0.884048
DEU,2004,0.803922
DEU,2005,0.8038
DEU,2006,0.796433
DEU,2007,0.729672
DEU,2008,0.679923
DEU,2009,0.716958
DEU,2010,0.754309
DEU,2011,0.718414
DEU,2012,0.778338
DEU,2013,0.752945
DEU,2014,0.752728
DEU,2015,0.901296
DEU,2016,0.903421
DEU,2017,0.885206
DEU,2018,0.846773
