id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Cluster.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.code
142688,12131519,2016,,financial,2019-07-27T04:25:36.112Z,2016-05-27T00:00:00Z,2016-05-27T00:00:00Z,The plan makes a direct contribution to the poverty fight by the increase of the Resilienz of vulnerabler target groups. An improved disaster risk management and a protection improved with it of the production bases (which are needed to the generation by income and to the food production) as well as the support of all dimensions of food security contribute to the reduction of poverty.  (2016.1849.5),,0.882,2016-05-28T00:00:00Z,Parked,Multiyear,TRUE,10700000,EUR,Traditional aid,,commitment,2020-11-13T16:47:20.553Z,2,incoming,shared,2016.1849.5,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,36,2016,single,,,,,,,,,,,,,44,Chad,single,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Private organization/foundation,International organization/foundation/individual,36; 38; 39; 40; 41; 42; 43,2016; 2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149054,2185792,2016,205294|205292|205291|205288|205289|205295,financial,2020-08-19T02:25:24.747Z,2016-11-03T00:00:00Z,2016-11-03T00:00:00Z,"The aim of the plan is to be improved it the food and hygiene methods of the people in well-chosen regions of the Rakhine State, in particular women between 15 and 49 years and children between 6 and 23 months. The measures become in well-chosen villages of both Townships Pauktaw and Kyauktaw moved. The plan strengthens the capacities of the actors in the area of Food protection at local level. (BMZ)",earmarked,0.915,2016-11-05T00:00:00Z,Parked,Multiyear|BMZ,TRUE,2000000,EUR,Traditional aid,,commitment,2021-09-30T17:05:20.481Z,3,incoming,shared,2016.1846.1,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,36,2016,single,,,,,,,,,,,,,153,Myanmar,single,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Private organization/foundation,International organization/foundation/individual,36; 38; 39; 40; 41; 42; 43,2016; 2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160873,3639418,2017,,financial,2020-10-07T02:25:11.397Z,2017-06-30T00:00:00Z,2017-06-30T00:00:00Z,"Resilienzstärkung in the northern and central Rakhine state by the reduction of the illness frequency and disaster susceptibility, long-term structural education in the area of the water supply and sanitary care, Livelihood measures as well as lasting strengthening of local partners. ",,0.893,2017-07-01T00:00:00Z,Parked,Multiyear|Disaster Preparedness,TRUE,3250000,EUR,Traditional aid,,commitment,2020-11-10T13:10:55.239Z,2,incoming,shared,2017.1838.6,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,153,Myanmar,single,,,173,Malteser International Order of Malta World Relief,single,NGO,International,38; 39; 40; 41; 42; 43,2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162750,1649033,2017,,financial,2017-08-15T08:53:15.486Z,2017-06-21T00:00:00Z,2017-06-21T00:00:00Z,"Het programma behelst de constructie, equipering, het voorzien van personeel en de operationalisering van drie fysieke rehabilitatiecentra in drie Afrikaanse landen: DRC, Mali en Nigeria. Het programma zal gefinancierd worden via een “Humanitaire Impact Bond” (HIB). Multiyear, 2017-2022, 2022 portion (tentative breakdown)",,0.879,2017-08-15T00:00:00Z,Standard,Humanitarian aid|Multiyear,TRUE,1449500,EUR,Traditional aid,162729,commitment,2017-11-30T10:49:31.777Z,1,incoming,single,PG/2017/06 - 1230,22,Belgium,single,,,2927,"Belgium, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,,,,,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,International Society,43,2022,single,,,9,Nutrition,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162816,4348837,2020,,financial,2020-07-17T14:37:42.954Z,2017-08-16T00:00:00Z,2017-08-16T00:00:00Z,"Strengthening of the Resilienz of the local population by support of the inklusiven medical care, the reconstruction improved emergency precaution",,0.86,2017-08-17T00:00:00Z,Parked,Multiyear,TRUE,3740000,EUR,Traditional aid,,commitment,2021-01-15T08:28:11.765Z,2,incoming,shared,2017.1828.7,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,41,2020,single,,,,,,,,,,,,,171,occupied Palestinian territory,single,,,4763,Humanity & Inclusion - Handicap International,single,NGO,International,41; 42; 43,2020; 2021; 2022,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,7,Health,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163953,4747596,2017,,financial,2020-10-23T02:25:26.948Z,2017-09-20T00:00:00Z,2017-09-20T00:00:00Z,"The Resiiienz of Binnenvertriebenen and other vulnerablenGroups in Mogadishu is by job market integration, social onesProtection and access to water supply and sanitary care raises",,0.832,2017-09-21T00:00:00Z,Parked,Multiyear,TRUE,3950000,EUR,Traditional aid,,commitment,2020-11-12T14:20:47.630Z,4,incoming,shared,2017.1803.0,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,206,Somalia,single,,,2849,Save the Children,single,NGO,International,38; 39; 40; 41; 42; 43,2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164032,2211538,2017,,financial,2020-08-25T02:25:21.320Z,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z,Strengthening of the existence basis and food security fromTo refugees from the south Sudan and the taking up municipalities inWhite Nile State (WNS) by varied activities andPossibilities of employment for youngsters (BMZ),,0.832,2017-09-23T00:00:00Z,Standard,Multiyear,TRUE,1840000,EUR,Traditional aid,,commitment,2020-08-25T08:41:21.246Z,2,incoming,shared,2017.1805.5,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,211,South Sudan,single,,,3369,Plan International,single,NGO,International,38; 39; 40; 41; 42; 43,2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166901,16492451,2017,,financial,2020-10-16T02:25:17.655Z,2017-11-28T00:00:00Z,2017-11-28T00:00:00Z,"Conditions for an improved food security concerning the dimensions access to and physiological utilisation of food from by the dryness to expelled ones Binnenflüchtlingen, repatriates and vulnerablen inhabitants in Kismayo are created.",earmarked,0.861,2017-11-29T00:00:00Z,Parked,Multiyear,TRUE,14200000,EUR,Traditional aid,,commitment,2020-11-12T14:22:59.751Z,4,incoming,shared,2017.1848.5,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,206,Somalia,single,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Private organization/foundation,International organization/foundation/individual,43; 42; 41; 40; 39; 38,2022; 2021; 2020; 2019; 2018; 2017,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166905,2505598,2017,,financial,2020-11-07T02:25:38.765Z,2017-11-28T00:00:00Z,2017-11-28T00:00:00Z,Strengthening of the Resilienz and improvement of the living conditions of the conflict-affected and vulnerable municipalities in the northern Shan state,,0.861,2017-11-29T00:00:00Z,Parked,Multiyear,TRUE,2157320,EUR,Traditional aid,,commitment,2020-11-10T13:04:54.166Z,2,incoming,shared,2017.1836.0,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,153,Myanmar,single,,,2513,Arche Nova E.V. - Initiative for People in Need,single,NGO,International,38; 39; 40; 41; 42; 43,2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167643,0,2017,237288|237274|230554|230547|230518|230516|219651|219645|196156|196157|196159|216042|198357|204079|204080|196158|207760,financial,2018-11-02T04:25:41.114Z,2017-11-29T00:00:00Z,2017-11-29T00:00:00Z,Humanitarian crisis in the Democratic Republic of the Congo,,0.861,2017-12-08T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2021-10-12T16:38:22.232Z,2,incoming,shared,AA-S09 321.50 COD 02/18,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,43; 41; 42; 40; 39,2022; 2020; 2021; 2019; 2018,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,52,"Congo, The Democratic Republic of the",single,,,3049,World Food Programme,single,UN agency,,43; 42; 41; 40; 39,2022; 2021; 2020; 2019; 2018,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
