id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
1000,374000,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Household food security,,,2001-04-05T00:00:00Z,Standard,Food|allocation of unearmarked funds,FALSE,USD,Traditional aid,1006,paid,2012-03-28T15:43:00Z,1,internal,single,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,NA,212,Sudan,single,,,,NA,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,659,Household food security,single,,,,SUD-00-1/N03,21,2000,single,,,,NA,,,,,,,,Primary; Primary,Food and Agriculture Organization of the United Nations; Allocation of unearmarked funds by FAO,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
10004,247219,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Voluntary fund for torture victims,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2004-12-29T00:00:00Z,1,incoming,single,2000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,10,Protection,single,,,,,,,,,,,,3,Office of the High Commissioner for Human Rights,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10005,988875,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,For general funds,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,8000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,10,Protection,single,,,,,,,,,,,,3,Office of the High Commissioner for Human Rights,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10006,444994,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Relief aid to victims of drought or war,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,3600000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,26479,Multi-sector,single,,,,,69,Eritrea,single,,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10007,444994,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Relief aid to internally displaced persons and to victims of the drought,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,3600000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,26479,Multi-sector,single,,,,,71,Ethiopia,single,,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10008,432633,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,"Support to nutrition, health, sanitation and education",,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,3500000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,26479,Multi-sector,single,,,,,106,Iraq,single,,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10009,123609,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Cost coverage of mine information campaigns,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,1000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,15,Protection - Mine Action,single,,,,,152,Mozambique,single,,,,,5311,United Nations Mine Action Service,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
1001,200000,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Monitoring and evaluation (OLS Nairobi),,,2001-04-05T00:00:00Z,Standard,,FALSE,,Traditional aid,,paid,2001-09-17T00:00:00Z,1,internal,single,,,4058,United States Fund for UNICEF,single,Private Organizations,International Private Organizations,International Actors,21,2000,single,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,709,"Planning, analysis, monitoring and evaluation",single,,,,SUD-00-1/N23,21,2000,single,,,,NA,,,,,,,,Primary; Primary,United Nations Children's Fund; United States Fund for UNICEF,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
10010,618047,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Demining in Kosovo,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,5000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,15,Protection - Mine Action,single,,,,,,,,,,,,5312,United Nations Voluntary Trust Fund in Mine Action,single,Pooled Funds,Global UN Pooled Funds,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10012,638319,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Fabrication and delivery of uniforms to the local police in Kosovo,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,5164000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,10,Protection,single,,,,,25724802,Serbia and Montenegro (until 2006-2009),single,,,,,60,United Nations Mission in Kosovo,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
