id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.code,destinationObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes
10049,62725,2002,,financial,2002-08-02T00:00:00Z,2002-08-02T00:00:00Z,2002-08-02T00:00:00Z,"Project ""assessing the humanitarian impact of sanctions""",,,2002-08-02T00:00:00Z,Standard,Humanitarian aid,TRUE,94087,CHF,Traditional aid,,commitment,2004-12-29T00:00:00Z,1,incoming,single,7F-02376.01.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105630,92206,2003,,financial,2013-05-27T17:36:00Z,2003-05-15T00:00:00Z,2003-05-15T00:00:00Z,Aide alimentaire complémentaire pour les réfugiés Sahraouis dans les campement de la région de Tindouf (Algérie),,0.911,2013-05-27T17:36:00Z,Standard,Food,TRUE,84000,EUR,Traditional aid,,paid,2013-05-27T17:36:00Z,1,incoming,single,,,,,,,4543,Private (individuals & organizations),single,Private organization/foundation,International organization/foundation/individual,24,2003,single,,,,,,,,,,,6,Food Security,single,,8520,OXFAM Belgium,single,NGO,24,2003,single,,,4,Algeria,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11537,29354,2002,,financial,2002-11-13T00:00:00Z,2002-10-22T00:00:00Z,2002-10-22T00:00:00Z,Health and medical,,,2002-11-12T00:00:00Z,Standard,Humanitarian aid,TRUE,30000,EUR,Traditional aid,,commitment,2002-11-13T00:00:00Z,1,incoming,single,,209,Spain,single,,,5319,"Spain, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,4087,Spanish Religious Organizations,single,NGO,24,2003,single,,,55,Côte d'Ivoire,single,,,National,,194,Cote d'Ivoire 2002 - 2004,single,,,,,,,,,,,,,,,,,,,
11646,402685,2002,,financial,2002-11-26T00:00:00Z,2002-11-15T00:00:00Z,2002-11-15T00:00:00Z,Contribution to emergency programme,,,2002-11-20T00:00:00Z,Standard,Humanitarian aid,TRUE,600000,CHF,Traditional aid,,commitment,2002-11-26T00:00:00Z,1,incoming,single,7F-01315.11,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,24,2003,single,,,55,Côte d'Ivoire,single,,,International Society,,194,Cote d'Ivoire 2002 - 2004,single,,,,,,,,,,,,,,,,,,,
11655,737463,2002,,financial,2002-11-26T00:00:00Z,2002-10-25T00:00:00Z,2002-10-25T00:00:00Z,Multi-sector assistance,,,2002-11-22T00:00:00Z,Standard,Humanitarian aid,TRUE,750000,EUR,Traditional aid,,paid,2003-07-09T00:00:00Z,1,incoming,single,GF 07 321.50 PSE 08/02,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,3035,United Nations Relief and Works Agency for Palestine Refugees in the Near East,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,NA,NA,NA,118,occupied Palestinian territory 2003,single,,NA,3288,Multi-sectoral assistance ,single,,oPt-03/MS01,NA,,,
11696,245821,2002,,financial,2002-11-28T00:00:00Z,2002-11-27T00:00:00Z,2002-11-27T00:00:00Z,Provision of household items to IDPs and refugees,,,2002-11-27T00:00:00Z,Standard,,TRUE,250000,EUR,Traditional aid,,commitment,2002-11-28T00:00:00Z,1,incoming,single,ASHH 321.5 PSE 16/02,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,4,Emergency Shelter and NFI,single,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,24,2003,single,,,171,occupied Palestinian territory,single,,,International Society,,,,,,,,,,,,,,,,,,,,,,,
11699,2209945,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,"Core funding grant for education, health,social services, etc.",,,2002-11-22T00:00:00Z,Standard,,TRUE,4000000,AUD,Traditional aid,,commitment,2003-05-15T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,3035,United Nations Relief and Works Agency for Palestine Refugees in the Near East,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,276243,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Medical assistance,,,2002-11-22T00:00:00Z,Standard,,TRUE,500000,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,24,2003,single,,,171,occupied Palestinian territory,single,,,International Society,,,,,,,,,,,,,,,,,,,,,,,
11701,33149,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Legal assistance (ICRC Legal adviser),,,2002-11-22T00:00:00Z,Standard,,TRUE,60000,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,117,Australian Red Cross,single,Red Cross/Red Crescent,24,2003,single,,,171,occupied Palestinian territory,single,,,International Society,,,,,,,,,,,,,,,,,,,,,,,
11702,45304,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Career counselling and support,,,2002-11-22T00:00:00Z,Standard,,TRUE,82000,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26480,Coordination and support services,single,,8589,OXFAM/Community Aid Abroad (OXFAM-Australia),single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
