id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,destinationObjects_Emergency.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code
168138,11848341,2017,,financial,2021-01-15T02:25:14.649Z,2017-12-18T00:00:00Z,2017-12-18T00:00:00Z,The access of youngsters from vulnerablen sections of the population in the north of the Rakhine State to the offers of the professional qualification and the occupation support is improved (BMZ),,0.844,2017-12-19T00:00:00Z,Parked,Multiyear,TRUE,10000000,EUR,Traditional aid,,commitment,2021-01-15T08:30:25.804Z,2,incoming,shared,2017.1839.4,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,4; 26480,Emergency Shelter and NFI; Coordination and support services,shared; shared,NULL; NULL,153,Myanmar,single,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Other,38; 39; 40; 41; 42; 43; 44,2017; 2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176447,0,,176452|176450|176451|176648|176449|176448,financial,2018-06-20T08:34:18.954Z,2018-06-05T00:00:00Z,,"Support to WHO - oPt / Gaza, multi-year funding, 2018-2023, total award CHF 1,500,000 (7F-10059.01)",,0.933,2018-06-05T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2022-04-27T12:59:57.747Z,2,incoming,shared,7F-10059.01,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398,World Health Organization,single,Multilateral Organizations,39; 40; 41; 42; 44; 43,2018; 2019; 2020; 2021; 2023; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176452,53591,,,financial,2018-06-14T12:35:27.105Z,2018-06-05T00:00:00Z,,"Support to WHO - oPt / Gaza, multi-year funding, 2018-2023, 2023 portion, total award CHF 50,000 (7F-10059.01)",,0.933,2018-06-05T00:00:00Z,Standard,Multiyear,TRUE,50000,CHF,Traditional aid,176447,commitment,2019-06-14T08:06:21.097Z,2,incoming,single,7F-10059.01,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,occupied Palestinian territory,single,,4398,World Health Organization,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176652,0,,176661|176659|176657|176655|176658|176653|176654,financial,2018-06-20T14:50:13.847Z,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z,The project is expected to improve food security and increase the resilience of livelihood of livestock farmers to animal disease threats in Pakistan.,softly earmarked,,2018-06-14T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,commitment,2022-11-03T09:34:34.438Z,1,incoming,shared,F-No.5-12/2012(FAO-FMD)IC-1 UTF/PAK/145/PAK,169,Pakistan,single,,,,83,"Pakistan, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,Pakistan,single,,4399,Food & Agriculture Organization of the United Nations,single,Multilateral Organizations,41; 45; 43; 39; 44; 40; 42,2020; 2024; 2022; 2018; 2023; 2019; 2021,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176659,736125,,,financial,2018-06-20T15:33:10.697Z,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z,The project is expected to improve food security and increase the resilience of livelihood of livestock farmers to animal disease threats in Pakistan (2023 portion),softly earmarked,,2018-06-14T00:00:00Z,Standard,Multiyear,TRUE,,,Traditional aid,176652,commitment,2018-06-20T15:33:39.075Z,1,incoming,single,F-No.5-12/2012(FAO-FMD)IC-1 UTF/PAK/145/PAK,169,Pakistan,single,,,,83,"Pakistan, Government of",single,Governments,National Governments,National and Sub-National State Actors,38,2017,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Food Security,single,,169,Pakistan,single,,4399,Food & Agriculture Organization of the United Nations,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179508,17128728,2018,221816|221815|186712|186713,financial,2019-05-04T04:25:37.009Z,2018-08-23T00:00:00Z,2018-08-23T00:00:00Z,"Stabilization and improvement of the food situation of the Southern Sudanese and refugees. Improving the livelihoods of small farmers, including diversification of agricultural production; supporting communities in building infrastructure to improve their capacity to cope with future climate shocks.",,0.8678,2018-08-23T00:00:00Z,Parked,Multiyear,TRUE,14864311,EUR,Traditional aid,,paid,2021-04-23T15:02:35.512Z,2,incoming,shared,2018.1836.8,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,South Sudan,single,,3049,World Food Programme,single,Multilateral Organizations,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184331,0,2019,267527|208969|243879|243878|189245|189244,financial,2020-04-28T14:56:57.047Z,2018-11-22T00:00:00Z,2018-11-22T00:00:00Z,Food emergency in Yemen (AA-S09 321.50 YEM 03/19),earmarked,0.88,2019-04-03T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2023-01-20T11:25:39.358Z,3,incoming,shared,AA-S09 321.50 YEM 03/19,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,44; 43; 42; 41; 40,2023; 2022; 2021; 2020; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,Yemen,single,,3049,World Food Programme,single,Multilateral Organizations,44; 43; 42; 41; 40,2023; 2022; 2021; 2020; 2019,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184835,0,,184836|184837|184838|184839|184840|184841,financial,2018-12-03T17:38:51.560Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: Health, Nutrition: DRR, Disaster prevention and preparedness , Multiyear 2018-2023,total award CHF 4,325,000 (7F-10100.99)",,0.989,2018-11-01T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2018-12-04T10:20:51.384Z,1,incoming,shared,7F-10100.99,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184841,634985,,,financial,2018-12-03T17:45:09.998Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: Health, Nutrition: DRR, Disaster prevention and preparedness , Multiyear 2018-2023, 2022 portion, total award CHF 628,000 (7F-10100.99)",,0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,628000,CHF,Traditional aid,184835,commitment,2018-12-04T10:20:51.811Z,1,incoming,single,7F-10100.99,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,44,2023,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184842,0,,184845|184846|184847|184848|184843|184844,financial,2018-12-03T17:48:40.085Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention and
preparedness , Multiyear 2018-2023,total award CHF 1,575,000 (Z7H314300081",,0.989,2018-11-01T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2018-12-04T10:26:50.798Z,1,incoming,shared,Z7H314300081,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,44; 43; 42; 41; 40; 39,2023; 2022; 2021; 2020; 2019; 2018,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
